#sample file for table_dict_count_search.py

structure_id,slab_num,well_id,slab_type,structure_acronym,polygon_id,mri_voxel_x,mri_voxel_y,mri_voxel_z,mni_x,mni_y,mni_z
4296,7,126439333,CX,GPi,114356712,104,108,88,-13,3,1
4166,8,126432538,CX,HG,1407832,144,112,97,-53,-6,-3
4735,62,126435762,CB,He-IV,113255856,107,127,124,-16,-33,-18
4244,7,126439285,CX,PHG-l,114357218,108,143,87,-17,4,-34
4244,10,126435744,CX,PHG-l,111793985,114,127,117,-23,-26,-18
4905,7,126432216,CX,TP-m,1407369,115,151,87,-24,4,-42
4194,14,126435075,CX,LiG-str,112718484,98,108,158,-7,-67,1
4030,5,126431705,CX,MFG-s,1403304,120,62,65,-29,26,47
4149,7,126434371,CX,ITG-its,1407368,117,154,87,-26,4,-45
4158,8,126432638,CX,FuG-its,1407818,126,148,98,-35,-7,-39
4244,8,126435772,CX,PHG-l,1407840,104,135,98,-13,-7,-26
4738,61,126435776,CB,He-VI,113222846,121,129,148,-30,-57,-20
4280,6,126432214,CX,HCd,1403564,101,100,77,-10,14,9
4048,4,126431655,CX,GRe,1395897,96,137,58,-5,33,-28
4273,8,126432588,CX,SIG,1407828,131,100,97,-40,-6,9
4187,15,126435758,CX,Cun-str,112731694,94,99,171,-3,-80,10
4735,62,126435794,CB,He-IV,113255857,107,126,125,-16,-34,-17
4738,62,126435716,CB,He-VI,113258156,107,136,170,-16,-79,-27
4720,63,126435766,CB,PV-V,113525753,96,112,155,-5,-64,-3
4739,62,126435842,CB,He-Crus I,113258197,107,139,178,-16,-87,-30
9698,93,146021998,BS,8Ve,120857712,97,159,134,-6,-43,-50
9529,93,146021902,BS,8Co,119889616,102,160,127,-11,-36,-51
9677,93,146507639,BS,Sp5,120830481,97,171,140,-6,-49,-62
9543,93,146507607,BS,Cu,113942461,94,172,136,-3,-45,-63
9525,93,146507591,BS,CGS,114102598,90,172,136,1,-45,-63
9677,93,146507575,BS,Sp5,114477404,96,170,132,-5,-41,-61
9561,93,146507717,BS,IO,120824708,93,169,124,-2,-33,-60
9677,93,146507605,BS,Sp5,120823192,98,166,130,-7,-39,-57
9614,93,146507573,BS,LMRt,113855751,98,166,126,-7,-35,-57
9589,93,146507557,BS,CMRt,120823191,95,166,127,-4,-36,-57
9561,93,146507541,BS,IO,113855742,94,166,125,-3,-34,-57
9543,93,146507699,BS,Cu,113900390,96,166,132,-5,-41,-57
9525,93,146507621,BS,CGS,114089994,92,166,130,-1,-39,-57
9677,93,146507635,BS,Sp5,120147764,96,162,134,-5,-43,-53
9642,93,146507619,BS,RaM,120910758,91,162,134,0,-43,-53
9614,93,146507603,BS,LMRt,113855843,97,162,131,-6,-40,-53
9598,93,146507587,BS,GiRt,120822945,92,162,134,-1,-43,-53
9589,93,146507667,BS,CMRt,120138927,94,162,134,-3,-43,-53
9561,93,146507571,BS,IO,113450698,94,163,127,-3,-36,-54
9555,93,146507651,BS,Gr,120870953,92,161,139,-1,-48,-52
9543,93,146507555,BS,Cu,113908327,95,161,137,-4,-46,-52
9520,93,146507539,BS,Arc,113902748,95,164,122,-4,-31,-55
9492,92,146022014,BS,Pn,113855575,98,142,114,-7,-23,-33
9178,92,146022030,BS,SOC,116841438,100,141,126,-9,-35,-32
9161,92,146021996,BS,PRF,114559906,93,141,129,-2,-38,-32
4308,7,127687508,CX,nbM,114356722,108,121,87,-17,4,-12
9698,92,146022010,BS,8Ve,116911428,99,147,127,-8,-36,-38
9158,92,146021992,BS,RPn,116028074,92,147,126,-1,-35,-38
9642,92,146021948,BS,RaM,119923211,91,156,126,0,-35,-47
9520,92,146021900,BS,Arc,120028854,92,157,122,-1,-31,-48
9492,92,146022076,BS,Pn,113450775,93,159,118,-2,-27,-50
9677,92,146021978,BS,Sp5,114709366,97,150,131,-6,-40,-41
9561,92,146022060,BS,IO,112739136,93,151,127,-2,-36,-42
9520,92,146022044,BS,Arc,116908654,93,152,122,-2,-31,-43
9143,92,146021898,BS,7,113855649,97,150,130,-6,-39,-41
9143,92,146022012,BS,7,120403074,96,150,130,-5,-39,-41
9492,91,139428011,BS,Pn,113849780,100,140,118,-9,-27,-31
9492,91,139428045,BS,Pn,114128525,98,132,114,-7,-23,-23
9161,91,139428061,BS,PRF,114128421,93,131,126,-2,-35,-22
9146,91,139428077,BS,LPB,113762042,100,130,128,-9,-37,-21
9075,91,139428075,BS,SNR,117277589,95,127,121,-4,-30,-18
9022,91,139428139,BS,SubCn,113748129,96,126,127,-5,-36,-17
4641,8,127687855,CX,DMH,113556744,100,111,98,-9,-7,-2
4440,10,139379729,CX,LGd,111263691,117,114,117,-26,-26,-5
4288,10,139379898,CX,Pu,113266299,129,111,117,-38,-26,-2
4281,10,139379882,CX,TCd,1406550,127,114,117,-36,-26,-5
4257,10,139379850,CX,CA4,112954868,121,118,117,-30,-26,-9
4255,10,139379810,CX,CA2,113044491,126,116,117,-35,-26,-7
4440,10,139379780,CX,LGd,111263692,116,114,117,-25,-26,-5
4257,10,139379764,CX,CA4,113266083,120,118,117,-29,-26,-9
9079,10,139379762,CX,PTec,113615317,103,104,117,-12,-26,5
9004,10,139379880,CX,CGMB,111350082,100,105,117,-9,-26,4
4437,10,139379848,CX,ILc,112613974,105,101,117,-14,-26,8
4417,10,139379792,CX,DTLv,112946261,112,99,117,-21,-26,10
4409,10,139379776,CX,DTLd,111353032,108,99,117,-17,-26,10
4400,10,139379760,CX,DTM,112954512,101,95,117,-10,-26,14
4288,10,139379725,CX,Pu,113186801,122,102,118,-31,-27,7
9004,10,139379896,CX,CGMB,113819219,99,105,117,-8,-26,4
4444,10,139379727,CX,MG,113819220,110,111,117,-19,-26,-2
9074,9,139379908,CX,SNC,111937781,104,119,109,-13,-18,-10
9054,9,139379774,CX,RN,111937779,98,118,109,-7,-18,-9
9031,9,139379862,CX,3,111938333,93,117,109,-2,-18,-8
4518,9,139379892,CX,Sb,111887279,107,111,109,-16,-18,-2
4507,9,139379876,CX,ZI,111938330,107,112,109,-16,-18,-3
4506,9,139379860,CX,R,112157619,111,98,109,-20,-18,11
4437,9,139379806,CX,ILc,112147668,99,105,109,-8,-18,4
4409,9,139379894,CX,DTLd,113819304,105,89,109,-14,-18,20
4400,9,139379804,CX,DTM,112158317,98,96,109,-7,-18,13
4296,9,139379788,CX,GPi,112322075,113,112,109,-22,-18,-3
4288,9,139379756,CX,Pu,112148292,122,108,109,-31,-18,1
9708,11,139379890,CX,CPLV,113075242,119,102,129,-28,-38,7
4532,11,139379874,CX,PIN,113512322,104,112,129,-13,-38,-3
4409,11,139379858,CX,DTLd,113042947,109,105,129,-18,-38,4
4257,11,139379786,CX,CA4,113213777,115,104,129,-24,-38,5
4258,11,139379802,CX,DG,112429620,114,105,129,-23,-38,4
4282,11,139379842,CX,BCd,113074648,124,98,129,-33,-38,11
4256,11,139379906,CX,CA3,113355697,114,104,129,-23,-38,5
4409,11,139379721,CX,DTLd,113509827,108,105,129,-17,-38,4
4120,12,126435041,CX,Pcu-s,112191395,104,48,138,-13,-47,61
4237,12,126435073,CX,CgGr-s,112191356,93,76,138,-2,-47,33
4099,12,126435137,CX,SPL-i,112191642,131,57,139,-40,-48,52
4099,12,126435105,CX,SPL-i,112191641,132,54,139,-41,-48,55
4120,14,126435011,CX,Pcu-s,112725872,94,51,159,-3,-68,58
4099,14,126434979,CX,SPL-i,112725870,111,73,160,-20,-69,36
4098,14,126435153,CX,SPL-s,112725871,109,39,159,-18,-68,70
4114,14,126435027,CX,AnG-i,112708384,132,57,161,-41,-70,52
4194,14,126435091,CX,LiG-str,112718485,97,106,158,-6,-67,3
4193,14,126435059,CX,LiG-pest,112718482,108,111,158,-17,-67,-2
4200,14,126435155,CX,OTG-s,112797082,127,116,160,-36,-69,-7
4120,15,126434997,CX,Pcu-s,112731857,97,54,172,-6,-81,55
4201,15,126435125,CX,OTG-i,112731491,120,126,173,-29,-82,-17
4193,15,126435093,CX,LiG-pest,112731490,99,124,171,-8,-80,-15
4194,16,126435095,CX,LiG-str,112783485,92,116,184,-1,-93,-7
4214,16,126435063,CX,SOG-s,112782883,112,79,182,-21,-91,30
